movie_name,year,time,rating,metascore,votes,gross,description,Director,Stars,Image URLs
"2,436. The Anchor (2014)","9 min | Short, Drama, Romance | Completed",Rate,An auspicious bond between two women is irrevocably damaged over breakfast.,"Director: Lea Fox | Stars: Kirschmann Susanna, Tal Weiss Cohen",,,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,437. Ad occhi chiusi (2013)","15 min | Short, Drama",7.7,Rate,"A love story between two teenager, Sara and Ginevra, becomes dangerous when the father of the youngest discovers them, forcing his daughter to make a choice.","Director: Lisa Riccardi | Stars: Liliana Fiorelli, Aurora Ruffino, Corrado Oddi, Laura Recagno",Votes: 7,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,438. Survived by... (2012)","23 min | Short, Drama, Family",Rate,An Army chaplain's routine assignment to counsel the grieving parent of a heroic female soldier killed in action in wartime Iraq is suddenly transformed in into an experience of unexpected ... See full summary »,"Director: T.J. Cooley | Stars: Savannah Gamble, Susan M. Martin, Jennifer Stepp, Amy Talbott",,,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,439. Love in Deep (2014)","16 min | Short, Drama",Rate,"Depicts a complex and deadly love triangle surrounding the pretty and naive Hanna, her militant housemate Anna and a handsome, heroic and somewhat peculiar stranger.","Director: Xiao Su | Stars: Anna Alfieri, Barry Appleton, Emilea Daltry",,,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,440. Bridal Party (2008)","Short, Comedy",8.1,Rate,"Time is flying for old Queens girl friends Frances and Diana. As they stand on the altar of their friend's wedding, the two bridesmaids question the happy couple's sincerity - before ... See full summary »","Director: Kelsy Chauvin | Stars: Lauren LoGiudice, Annika Boras, Scout Durwood, Zrinka Dekic",Votes: 11,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,441. Separata (2013)","18 min | Short, Drama",8.6,Rate,"Marina is preparing an audition in a drastic moment of her life when she has to reconsider her vocation and sexual orientation. But the audition piece (separata), a crappy commercial script, will help to find herself.","Director: Miguel Lafuente | Stars: Miguel Albertos, Mariu Bárcena, Miguel Jiménez Ramos, Diego Landaluce",Votes: 11,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,442. A Coming Out Homecoming (2010)","5 min | Short, Comedy, Romance",4.9,Rate,A woman brings her girlfriend home to meet the parents.,"Director: Barbara Distinti | Stars: Whitney Kimball Long, Brandon Marianne Lee",Votes: 9,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,443. She's Lost Control (II) (2014)",6 min | Short,6.4,Rate,A teenage girls morning routine is disrupted by her struggle with Dermatillomania,"Director: Rhiannon Harris | Stars: Kim Davies, Alison Harris, Holly Jones, Joshua Prime",Votes: 9,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,444. Eliza Graves (2014)","15 | 112 min | Drama, Horror, Mystery",6.8,Rate,52 Metascore,"An Oxford graduate takes up a job in a mental asylum, only to discover that the ""revolutionary"" new treatments are inhumane, and that there is more going on than meets the eye.","Director: Brad Anderson | Stars: Kate Beckinsale, Jim Sturgess, David Thewlis, Brendan Gleeson","Votes: 59,447",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,445. Blooming (2013)",10 min | Short,6.5,Rate,A girl comes out to her best friend.,"Director: Harrison J. Bahe | Stars: Sammi Pechman, Shanae Styles",Votes: 30,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,446. Til Lease Do Us Part (2014– )","5 min | Short, Comedy",7.3,Rate,Two roommates re-enter the dating world with one problem: they're exes.,"Stars: Morgan Kohan, Hannah Hogan, Joanne Sarazen",Votes: 68,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,447. Seeking Simone (2009– )",Comedy,6.2,Rate,Add a Plot,"Stars: David Bronfman, Anna Chatterton, Kiran Friesen, Sara Gilchrist",Votes: 17,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,448. San Andreas (2015)","12A | 114 min | Action, Adventure, Thriller",6.1,Rate,43 Metascore,"In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey with his ex-wife across the state in order to rescue his daughter.","Director: Brad Peyton | Stars: Dwayne Johnson, Carla Gugino, Alexandra Daddario, Colton Haynes","Votes: 251,655 | Gross: $155.19M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,449. Women Who Made History (2013– )","51 min | Documentary, Biography, Drama",7.2,Rate,This dramatized series portrays six remarkable women in unprecedented detail.,"Stars: Liv Lisa Fries, Luise Heyer, Marleen Lohse, Pegah Ferydoni",Votes: 85,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,450. Magic Mike XXL (2015)","15 | 115 min | Comedy, Drama, Music",5.6,Rate,61 Metascore,"Three years after Mike bowed out of the stripper life at the top of his game, he and the remaining Kings of Tampa hit the road to Myrtle Beach to put on one last blow-out performance.","Director: Gregory Jacobs | Stars: Channing Tatum, Joe Manganiello, Matt Bomer, Adam Rodriguez","Votes: 60,603 | Gross: $66.01M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,451. Forget Venice (1979)",110 min | Drama,6.7,Rate,A gay brother visits his childhood home where his sister still lives with her lesbian niece and her girlfriend. They reminisce about the better past and their parents.,"Director: Franco Brusati | Stars: Mariangela Melato, Eleonora Giorgi, Erland Josephson, Nerina Montagnani",Votes: 380,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
